City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,katsuura,35.1333,140.3,7.14,92,100,6.08,JP,1707010039
249,lebu,-37.6167,-73.65,14.57,81,0,9.42,CL,1707010039
250,touros,-5.1989,-35.4608,27.23,76,5,6.25,BR,1707010040
251,jiaojiang,28.6803,121.4428,8.89,83,100,2.14,CN,1707010041
252,hassi messaoud,31.6804,6.0729,9.92,62,0,2.06,DZ,1707010041
253,yulinshi,38.2906,109.7494,-3.45,93,100,3.76,CN,1707010042
254,boende,-0.2167,20.8667,24.78,71,100,0.51,CD,1707010043
255,idri,27.5,13.2667,9.7,41,0,3.25,LY,1707010044
256,vilyuchinsk,52.9306,158.4028,-13.85,74,28,3.98,RU,1707010045
257,aswan,24.0934,32.907,10.95,39,0,4.29,EG,1707010045
258,akureyri,65.6835,-18.0878,-6.04,93,100,1.03,IS,1707010046
259,sangmelima,2.9333,11.9833,19.57,51,98,0.82,CM,1707010047
260,el obeid,13.1842,30.2167,15.28,21,17,4.99,SD,1707010048
261,st. john's,47.5649,-52.7093,-0.68,90,100,8.49,CA,1707009995
262,kingston,17.997,-76.7936,25.53,73,20,1.54,JM,1707010049
263,mar del plata,-38.0023,-57.5575,19.97,67,40,6.26,AR,1707010050
264,novyy urengoy,66.0833,76.6333,-16.46,97,100,1.65,RU,1707010050
265,gadzhiyevo,69.2551,33.3362,-6.38,85,100,10.7,RU,1707010051
266,revda,56.801,59.9303,-11.01,96,100,2.04,RU,1707010052
267,rikaze,29.25,88.8833,-4.57,15,0,1.07,CN,1707010053
268,saint-leu,-21.15,55.2833,22.46,70,79,4.34,RE,1707010053
269,qamdo,31.1667,97.2333,-12.42,56,100,2.55,CN,1707010054
270,ciudad sabinas hidalgo,26.5,-100.1667,21.87,18,0,3.44,MX,1707010055
271,east ballina,-28.8667,153.5833,30.44,71,53,4.51,AU,1707010055
272,stephenville,32.2207,-98.2023,13.07,44,0,0.0,US,1707010056
273,warri,5.5167,5.75,25.28,83,18,0.67,NG,1707010057
274,ouesso,1.6136,16.0517,24.81,47,100,1.11,CG,1707010057
275,la passe,45.5549,-0.8967,7.77,93,14,2.9,FR,1707010058
276,beledweyne,4.7358,45.2036,24.55,64,50,5.71,SO,1707010058
277,vanimo,-2.6741,141.3028,30.39,65,38,1.73,PG,1707010059
278,bandarbeyla,9.4942,50.8122,24.53,78,49,6.72,SO,1707009927
279,la sarre,48.8002,-79.1996,-9.38,98,36,1.21,CA,1707010023
280,tobelo,1.7284,128.0095,27.87,75,47,2.56,ID,1707010062
281,chulym,55.0997,80.9572,-6.77,95,100,4.74,RU,1707010062
282,port mathurin,-19.6833,63.4167,26.45,63,19,5.71,MU,1707010063
283,inarajan village,13.2736,144.7484,28.54,82,50,11.31,GU,1707010064
284,geraldton,-28.7667,114.6,24.23,53,0,10.29,AU,1707010065
285,badger,64.8,-147.5333,-34.45,71,0,0.0,US,1707010066
286,vadso,70.0744,29.7487,-2.91,86,100,5.14,NO,1707010066
287,taltal,-25.4,-70.4833,20.12,85,22,1.35,CL,1707010067
288,malabar,-33.9667,151.25,34.31,59,0,3.6,AU,1707010068
289,khairpur tamewah,29.5811,72.2364,12.01,68,30,4.71,PK,1707010069
290,tomigusuku,26.185,127.675,24.3,83,75,1.03,JP,1707010069
291,palembang,-2.9167,104.7458,25.05,94,20,1.03,ID,1707010060
292,demba,-5.51,22.2667,21.63,92,100,0.64,CD,1707010071
293,aripuana,-9.1667,-60.6333,23.2,99,100,0.9,BR,1707010071
294,talcahuano,-36.7167,-73.1167,17.82,63,0,6.17,CL,1707010072
295,loralai,30.3705,68.598,5.46,83,75,0.75,PK,1707010073
296,north bondi,-33.8824,151.2769,34.4,60,0,3.6,AU,1707010073
297,nikki,9.9401,3.2108,23.22,15,23,3.03,BJ,1707010074
298,huainan,32.6264,116.9969,-2.07,97,100,4.23,CN,1707010075
299,port moresby,-9.4431,147.1797,31.68,62,40,4.12,PG,1707010075
300,shyshaky,49.8817,34.0112,3.8,86,100,7.24,UA,1707010076
301,ust-nera,64.5667,143.2,-22.88,97,100,2.18,RU,1707010076
302,nabire,-3.3667,135.4833,29.69,69,64,1.17,ID,1707010077
303,hisar,29.1667,75.7167,12.6,73,100,1.22,IN,1707010078
304,bitam,2.076,11.5007,21.39,94,100,0.21,GA,1707010078
305,callao,-12.0667,-77.15,27.07,78,40,6.69,PE,1707010079
306,shortandy,51.7006,70.9994,-3.28,95,100,7.84,KZ,1707010080
307,suntar,62.1444,117.6319,-26.97,96,100,1.83,RU,1707010080
308,hotan,37.0997,79.9269,-4.85,81,100,1.76,CN,1707010081
309,okakarara,-20.5833,17.4333,21.19,73,98,3.29,,1707010082
310,kintinku,-5.8833,35.2333,19.76,97,100,1.6,TZ,1707010083
311,darwin,-12.4611,130.8418,32.16,77,40,7.2,AU,1707009605
312,kyaikkami,16.08,97.5675,23.52,67,10,3.08,MM,1707010084
313,gadani,25.1185,66.7299,19.12,87,100,6.62,PK,1707010084
314,tsetserleg,47.475,101.4542,-13.5,89,100,0.99,MN,1707010085
315,saint-pierre,-21.3393,55.4781,20.82,73,0,3.6,RE,1707010086
316,oyotun,-6.8519,-79.3036,25.55,80,100,1.78,PE,1707010086
317,amet,25.3,73.9333,17.11,60,96,2.4,IN,1707010087
318,east london,-33.0153,27.9116,24.57,88,95,3.72,ZA,1707010087
319,tazovsky,67.4667,78.7,-14.68,94,100,2.1,RU,1707010088
320,krasnyy yar,46.5331,48.3456,0.96,82,100,6.75,RU,1707010089
321,vila velha,-20.3297,-40.2925,25.97,93,75,1.54,BR,1707010089
322,mvurwi,-17.0333,30.85,15.53,96,67,1.59,ZW,1707010090
323,rybinsk,58.0446,38.8426,-6.49,95,100,4.02,RU,1707010090
324,bubaque,11.2833,-15.8333,25.93,78,0,3.83,GW,1707010091
325,aasiaat,68.7098,-52.8699,-31.59,94,31,2.15,GL,1707010092
326,kailua-kona,19.6406,-155.9956,26.95,79,100,3.6,US,1707010092
327,igarka,67.4667,86.5833,-13.36,96,100,3.76,RU,1707010093
328,forde,61.4522,5.8572,4.41,93,100,5.66,NO,1707010094
329,yanbu,24.0891,38.0637,11.02,62,0,0.0,SA,1707010094
330,nieuw amsterdam,5.8833,-55.0833,26.09,88,15,4.64,SR,1707010095
331,baoding,38.8511,115.4903,-1.69,46,100,1.18,CN,1707010095
